plotname,area,points,devRRT
inputs/sample_11_comp=Target_4_confirming.jpeg,235332603.58,28,1.7e-4
inputs/sample_10_comp=Target_4_confirming.jpeg,237230730.88,27,0.00214
inputs/sample_15_comp=Target_4_confirming.jpeg,433455475.69,37,1.3e-4
inputs/sample_17_comp=Target_4_confirming.jpeg,364266300.91,41,5.8e-4
inputs/sample_20_comp=Target_4_confirming.jpeg,623732727.88,33,3.7e-4
inputs/sample_4_comp=Target_4_confirming.jpeg,763522268.62,37,8.7e-4
inputs/sample_24_comp=Target_4_confirming.jpeg,409237507.12,39,7.3e-4
inputs/sample_12_comp=Target_4_confirming.jpeg,803170240.62,30,3.4e-4
inputs/sample_21_comp=Target_4_confirming.jpeg,395585151,34,2.8e-4
inputs/sample_2_comp=Target_4_confirming.jpeg,794276337.5,38,2e-4
inputs/sample_5_comp=Target_4_confirming.jpeg,324350495.28,38,2.9e-4
inputs/sample_19_comp=Target_2_confirming.jpeg,0,0,1
inputs/sample_23_comp=Target_4_confirming.jpeg,639555168.81,42,4e-5
inputs/sample_14_comp=Target_5_confirming.jpeg,291364368.06,20,1e-4
inputs/sample_3_comp=Target_5_confirming.jpeg,201734168.21,20,4e-4
inputs/sample_18_comp=Target_5_confirming.jpeg,153873202.62,16,0.00165
inputs/sample_15_comp=Target_5_confirming.jpeg,154543126.81,13,2.9e-4
inputs/sample_10_comp=Target_5_confirming.jpeg,99141460.81,12,0.00264
inputs/sample_13_comp=Target_5_confirming.jpeg,225921338,16,7.7e-4
inputs/sample_11_comp=Target_5_confirming.jpeg,113520072,12,3.3e-4
inputs/sample_1_comp=Target_5_confirming.jpeg,136974491.31,13,5.5e-4
inputs/sample_22_comp=Target_5_confirming.jpeg,196162834.5,17,1.2e-4
inputs/sample_4_comp=Target_5_confirming.jpeg,271324718.94,17,4.6e-4
inputs/sample_20_comp=Target_5_confirming.jpeg,214868756.88,16,0.00268
inputs/sample_17_comp=Target_5_confirming.jpeg,153724615.56,19,1.6e-4
inputs/sample_12_comp=Target_5_confirming.jpeg,316414543.12,22,9.9e-4
inputs/sample_2_comp=Target_5_confirming.jpeg,316685130.19,19,2.2e-4
inputs/sample_24_comp=Target_5_confirming.jpeg,197532756,19,2.3e-4
inputs/sample_21_comp=Target_5_confirming.jpeg,141549156.53,18,7.4e-4
inputs/sample_5_comp=Target_5_confirming.jpeg,148396747.66,18,1.3e-4
inputs/sample_19_comp=Target_20_confirming.jpeg,351588.47,1,0.00389
inputs/sample_23_comp=Target_5_confirming.jpeg,270968303.12,20,0.00138
inputs/sample_13_comp=Target_6_confirming.jpeg,0,0,1
inputs/sample_15_comp=Target_6_confirming.jpeg,0,0,1
inputs/sample_10_comp=Target_6_confirming.jpeg,0,0,1
inputs/sample_4_comp=Target_6_confirming.jpeg,0,0,1
inputs/sample_3_comp=Target_6_confirming.jpeg,0,0,1
inputs/sample_18_comp=Target_6_confirming.jpeg,0,0,1
inputs/sample_14_comp=Target_6_confirming.jpeg,0,0,1
inputs/sample_11_comp=Target_6_confirming.jpeg,0,0,1
inputs/sample_22_comp=Target_6_confirming.jpeg,0,0,1
inputs/sample_1_comp=Target_6_confirming.jpeg,0,0,1
inputs/sample_20_comp=Target_6_confirming.jpeg,0,0,1
inputs/sample_24_comp=Target_6_confirming.jpeg,0,0,1
inputs/sample_5_comp=Target_6_confirming.jpeg,0,0,1
inputs/sample_12_comp=Target_6_confirming.jpeg,0,0,1
inputs/sample_2_comp=Target_6_confirming.jpeg,0,0,1
inputs/sample_21_comp=Target_6_confirming.jpeg,0,0,1
inputs/sample_17_comp=Target_6_confirming.jpeg,0,0,1
inputs/sample_19_comp=Target_21_confirming.jpeg,0,0,1
inputs/sample_23_comp=Target_6_confirming.jpeg,0,0,1
inputs/sample_13_comp=Target_7_confirming.jpeg,0,0,1
inputs/sample_15_comp=Target_7_confirming.jpeg,0,0,1
inputs/sample_18_comp=Target_7_confirming.jpeg,0,0,1
inputs/sample_24_comp=Target_7_confirming.jpeg,0,0,1
inputs/sample_5_comp=Target_7_confirming.jpeg,0,0,1
inputs/sample_1_comp=Target_7_confirming.jpeg,0,0,1
inputs/sample_14_comp=Target_7_confirming.jpeg,0,0,1
inputs/sample_20_comp=Target_7_confirming.jpeg,0,0,1
inputs/sample_4_comp=Target_7_confirming.jpeg,0,0,1
inputs/sample_3_comp=Target_7_confirming.jpeg,0,0,1
inputs/sample_22_comp=Target_7_confirming.jpeg,0,0,1
inputs/sample_12_comp=Target_7_confirming.jpeg,0,0,1
inputs/sample_10_comp=Target_7_confirming.jpeg,0,0,1
inputs/sample_17_comp=Target_7_confirming.jpeg,0,0,1
inputs/sample_11_comp=Target_7_confirming.jpeg,0,0,1
inputs/sample_2_comp=Target_7_confirming.jpeg,0,0,1
inputs/sample_21_comp=Target_7_confirming.jpeg,0,0,1
inputs/sample_19_comp=Target_22_confirming.jpeg,177417.11,1,0.02056
inputs/sample_23_comp=Target_7_confirming.jpeg,127764.23,1,0.02155
inputs/sample_13_comp=Target_8_confirming.jpeg,21577803.23,17,0.00137
inputs/sample_14_comp=Target_8_confirming.jpeg,135032847.59,22,9e-5
inputs/sample_1_comp=Target_8_confirming.jpeg,13305336.89,17,4.6e-4
inputs/sample_10_comp=Target_8_confirming.jpeg,18537946.12,15,2.4e-4
inputs/sample_20_comp=Target_8_confirming.jpeg,23701562.84,18,7.6e-4
inputs/sample_18_comp=Target_8_confirming.jpeg,14300067.31,18,1e-4
inputs/sample_22_comp=Target_8_confirming.jpeg,16602774.2,19,7e-5
inputs/sample_15_comp=Target_8_confirming.jpeg,28331106.78,18,9e-5
inputs/sample_5_comp=Target_8_confirming.jpeg,10862353.47,19,5.6e-4
inputs/sample_12_comp=Target_8_confirming.jpeg,144124325.41,28,6e-5
inputs/sample_3_comp=Target_8_confirming.jpeg,20417515.47,14,2.2e-4
